booking_id,guest_id,hotel_id,booking_date,room_type_requested,booking_channel,nights_booked,total_amount
B00001,G0029,H015,02-08-2026,Deluxe,Website,2,10659.2
B00002,G0200,H007,17-01-2024,Deluxe,Walk-in,4,21937.8
B00003,G0347,H004,12-09-2025,Standard,Walk-in,3,9403.28
B00004,G0188,H017,28-06-2025,Suite,Website,3,34440.18
B00005,G0238,H001,06-07-2025,Suite,Travel Agent,3,23186.5
B00006,G0263,H002,18-02-2025,Deluxe,Mobile App,7,30003.61
B00007,G0158,H013,26-02-2026,Standard,Walk-in,7,21742.23
B00008,G0237,H004,11-08-2026,Standard,Website,4,12628.24
B00009,G0217,H010,26-03-2024,Deluxe,Mobile App,2,8934.35
B00010,G0324,H001,03-03-2026,Deluxe,Website,1,4467.27
B00011,G0015,H011,06-07-2026,Standard,Website,2,5859.52
B00012,G0109,H018,24-09-2024,Standard,Mobile App,2,5992.85
B00013,G0344,H007,12-02-2026,Standard,Travel Agent,3,9838.19
B00014,G0321,H016,22-07-2025,Standard,Website,2,6027.69
B00015,G0159,H005,23-01-2026,Suite,Travel Agent,4,35812.36
B00016,G0233,H006,17-12-2025,Standard,Mobile App,4,14540.42
B00017,G0107,H023,20-09-2025,Deluxe,Website,2,8895.34
B00018,G0072,H003,03-04-2026,Suite,Mobile App,3,28214.28
B00019,G0164,H008,26-09-2024,Standard,Mobile App,4,14969.38
B00020,G0127,H020,14-02-2025,Deluxe,Website,10,38403.36
B00021,G0216,H006,03-03-2026,Deluxe,Mobile App,1,5274.28
B00022,G0029,H017,03-04-2026,Standard,Website,3,11754.76
B00023,G0348,H020,25-08-2024,Standard,Website,2,5040.4
B00024,G0350,H003,10-06-2024,Executive,Travel Agent,2,16300.18
B00025,G0264,H007,23-08-2025,Deluxe,Travel Agent,1,4572.12
B00026,G0195,H024,18-10-2024,Suite,Walk-in,2,17112.33
B00027,G0117,H008,10-10-2024,Deluxe,Website,7,36208.97
B00028,G0297,H006,24-09-2024,Standard,Website,1,3216.65
B00029,G0259,H017,29-04-2024,Executive,Walk-in,5,42583.92
B00030,G0062,H015,11-12-2025,Executive,Mobile App,4,35556.98
B00031,G0328,H015,05-03-2026,Deluxe,Walk-in,5,29145.27
B00032,G0302,H003,21-09-2024,Standard,Travel Agent,2,8189.44
B00033,G0344,H011,30-03-2026,Standard,Mobile App,3,9031.72
B00034,G0268,H008,26-09-2024,Standard,Mobile App,4,13024.34
B00035,G0233,H006,21-07-2025,Deluxe,Mobile App,7,33556.49
B00036,G0146,H022,03-02-2026,Executive,Website,4,31292.47
B00037,G0339,H009,04-09-2024,Standard,Website,2,8032.21
B00038,G0317,H025,19-03-2025,Standard,Phone,4,14086.35
B00039,G0015,H001,21-04-2026,Suite,Mobile App,1,7654.3
B00040,G0011,H011,27-09-2025,Deluxe,Phone,7,32845.45
B00041,G0136,H006,17-05-2025,Executive,Walk-in,2,13530.21
