room_id,hotel_id,room_type,floor_number,max_occupancy,price_per_night,is_active
R00001,H001,Standard,4,2,2993.19,Yes
R00002,H001,Deluxe,7,2,4618.17,Yes
R00003,H001,Standard,3,2,2861.33,Yes
R00004,H001,Standard,2,2,2661.59,Yes
R00005,H001,Deluxe,10,2,3917.36,Yes
R00006,H001,Executive,9,3,5821.7,Yes
R00007,H001,Executive,11,3,6384.87,Yes
R00008,H001,Deluxe,5,2,4509.62,Yes
R00009,H001,Standard,3,2,2830.09,No
R00010,H001,Suite,5,4,8357.83,Yes
R00011,H001,Deluxe,2,2,4595.24,Yes
R00012,H001,Deluxe,10,2,4031.09,Yes
R00013,H001,Standard,13,2,3092.56,Yes
R00014,H001,Deluxe,8,2,3880.36,Yes
R00015,H001,Suite,14,4,8110.16,Yes
R00016,H001,Standard,10,2,3106.29,Yes
R00017,H001,Deluxe,2,2,4685.51,Yes
R00018,H001,Standard,11,2,2842.16,Yes
R00019,H001,Standard,14,2,2915.69,No
R00020,H001,Executive,13,3,6395.92,Yes
R00021,H001,Standard,11,2,2939.93,Yes
R00022,H001,Deluxe,2,2,4072.24,Yes
R00023,H002,Standard,9,2,2704.86,Yes
R00024,H002,Standard,11,2,2608.97,Yes
R00025,H002,Standard,6,2,2615.68,Yes
R00026,H002,Deluxe,4,2,4316.96,Yes
R00027,H002,Suite,10,4,7609.01,Yes
R00028,H002,Suite,4,4,7041.49,Yes
R00029,H002,Standard,7,2,2837.53,Yes
R00030,H002,Deluxe,11,2,3946.67,Yes
R00031,H002,Standard,14,2,2637.19,Yes
R00032,H002,Deluxe,3,2,4218.38,Yes
R00033,H002,Standard,2,2,2824.15,Yes
R00034,H002,Deluxe,1,2,4411.8,Yes
R00035,H002,Standard,2,2,3094.77,Yes
R00036,H002,Standard,8,2,2845.56,Yes
R00037,H002,Executive,3,3,5974.77,No
R00038,H002,Standard,13,2,3015.67,Yes
R00039,H002,Deluxe,12,2,4700.16,Yes
R00040,H002,Deluxe,3,2,4023.51,Yes
R00041,H002,Standard,12,2,2879.63,Yes
R00042,H002,Standard,10,2,2843.0,Yes
R00043,H002,Deluxe,1,2,4671.05,Yes
R00044,H002,Standard,10,2,2614.06,Yes
R00045,H002,Standard,10,2,2713.88,Yes
R00046,H002,Deluxe,7,2,4416.19,Yes
R00047,H002,Standard,5,2,2690.39,Yes
R00048,H002,Standard,7,2,2649.29,Yes
R00049,H002,Deluxe,13,2,4650.02,Yes
R00050,H002,Deluxe,10,2,4700.72,Yes
R00051,H002,Standard,5,2,2650.18,Yes
R00052,H002,Standard,4,2,2782.94,Yes
R00053,H003,Suite,12,4,10001.13,No
R00054,H003,Suite,9,4,9399.96,Yes
R00055,H003,Standard,11,2,3582.25,Yes
R00056,H003,Standard,2,2,4068.78,Yes
R00057,H003,Standard,4,2,4049.89,Yes
R00058,H003,Deluxe,5,2,5832.42,Yes
R00059,H003,Executive,1,3,7657.83,Yes
R00060,H003,Standard,1,2,3757.4,Yes
R00061,H003,Executive,3,3,8716.89,Yes
R00062,H003,Standard,1,2,3588.56,Yes
R00063,H003,Deluxe,3,2,5878.32,Yes
